datetime,Open,High,Low,Close,Volume
26.09.2019 15:00:00.000,220.018,220.138,219.197,219.948,190.73
26.09.2019 16:00:00.000,219.958,220.408,219.598,219.858,139.8025
26.09.2019 17:00:00.000,219.857,220.138,219.647,220.138,90
26.09.2019 18:00:00.000,220.138,220.588,219.977,220.037,120.39
26.09.2019 19:00:00.000,220.038,220.918,219.477,219.878,158.8225
27.09.2019 13:00:00.000,220.498,220.928,219.957,220.157,78.7075
27.09.2019 14:00:00.000,220.128,220.468,219.467,220.358,148.505
27.09.2019 15:00:00.000,220.368,220.498,217.718,219.698,142.695
27.09.2019 16:00:00.000,219.698,219.938,218.237,218.237,211.355
27.09.2019 17:00:00.000,218.218,218.968,217.968,218.578,196.84
27.09.2019 18:00:00.000,218.577,218.628,217.268,217.478,173.0775
27.09.2019 19:00:00.000,217.467,219.118,217.467,218.837,191.545
30.09.2019 13:00:00.000,220.948,222.348,220.797,221.718,89.77
30.09.2019 14:00:00.000,221.688,222.618,221.128,222.618,153.02
30.09.2019 15:00:00.000,222.607,223.408,222.517,223.168,136.455
30.09.2019 16:00:00.000,223.178,224.418,223.178,224.418,85.26
30.09.2019 17:00:00.000,224.408,224.548,223.807,224.168,62.0325
30.09.2019 18:00:00.000,224.178,224.368,223.747,224.098,80.7975
30.09.2019 19:00:00.000,224.097,224.287,223.537,223.978,131.0725
01.10.2019 13:00:00.000,224.977,228.188,224.678,228.047,107.1825
01.10.2019 14:00:00.000,228.018,228.018,225.808,226.168,199.55
01.10.2019 15:00:00.000,226.168,227.658,225.978,226.258,203.22
01.10.2019 16:00:00.000,226.257,226.267,225.298,225.358,165.1675
01.10.2019 17:00:00.000,225.348,225.518,224.408,224.878,155.44
01.10.2019 18:00:00.000,224.877,225.718,224.698,225.148,139.695
01.10.2019 19:00:00.000,225.148,225.648,224.197,224.328,123.07
02.10.2019 13:00:00.000,223.068,223.558,220.727,221.237,121.415
02.10.2019 14:00:00.000,221.298,221.428,219.347,219.758,258.4275
02.10.2019 15:00:00.000,219.747,220.518,218.847,219.188,218.3325
02.10.2019 16:00:00.000,219.188,219.247,217.927,218.427,152.3425
02.10.2019 17:00:00.000,218.418,219.478,218.267,218.698,170.11
02.10.2019 18:00:00.000,218.698,219.748,218.518,219.228,160.3775
02.10.2019 19:00:00.000,219.238,219.948,218.818,219.218,193.185
03.10.2019 13:00:00.000,218.207,219.307,217.648,218.278,68.825
03.10.2019 14:00:00.000,218.278,218.278,215.127,217.448,191.0325
03.10.2019 15:00:00.000,217.418,219.637,217.177,218.828,221.1225
03.10.2019 16:00:00.000,218.818,220.828,218.808,220.578,173.8
03.10.2019 17:00:00.000,220.588,220.928,220.018,220.648,128.175
03.10.2019 18:00:00.000,220.648,220.678,219.858,220.018,113.0175
03.10.2019 19:00:00.000,220.028,220.867,219.708,220.708,127.82
04.10.2019 13:00:00.000,225.618,225.688,223.898,224.898,112.5825
04.10.2019 14:00:00.000,224.888,225.358,224.398,225.128,199.3525
04.10.2019 15:00:00.000,225.138,226.178,224.908,226.018,159.7075
04.10.2019 16:00:00.000,226.017,226.108,225.458,225.947,92.17
04.10.2019 17:00:00.000,225.948,226.378,225.748,226.298,79.1175
04.10.2019 18:00:00.000,226.297,227.477,226.237,226.887,84.6425
04.10.2019 19:00:00.000,226.888,227.118,226.108,226.808,128.79
07.10.2019 13:00:00.000,226.088,227.898,225.827,227.048,97.2375
07.10.2019 14:00:00.000,227.058,228.798,226.908,228.748,170.71
07.10.2019 15:00:00.000,228.758,229.408,228.557,229.407,113.5625
07.10.2019 16:00:00.000,229.408,229.448,228.778,229.378,76.415
07.10.2019 17:00:00.000,229.388,229.908,228.618,229.858,111.575
07.10.2019 18:00:00.000,229.867,229.898,226.588,227.398,153.2325
07.10.2019 19:00:00.000,227.407,227.968,226.607,226.927,155.315
08.10.2019 13:00:00.000,225.698,227.208,225.438,225.818,118.81
08.10.2019 14:00:00.000,225.818,226.478,225.048,226.238,255.2475
08.10.2019 15:00:00.000,226.238,226.618,225.338,226.088,202.8825
08.10.2019 16:00:00.000,226.087,227.468,225.607,226.748,148.1175
08.10.2019 17:00:00.000,226.748,227.478,226.508,226.948,132.645
08.10.2019 18:00:00.000,226.928,228.048,225.197,226.208,194.1475
08.10.2019 19:00:00.000,226.138,226.748,224.317,224.348,161.105
09.10.2019 13:00:00.000,226.908,227.272,225.857,226.168,92.695
09.10.2019 14:00:00.000,226.187,226.647,225.738,226.008,148.2525
09.10.2019 15:00:00.000,226.017,226.888,225.637,226.698,134.8825
09.10.2019 16:00:00.000,226.697,227.238,226.598,227.118,91.9175
09.10.2019 17:00:00.000,227.117,227.488,226.697,226.848,90.635
09.10.2019 18:00:00.000,226.847,227.608,226.577,227.288,85.6225
09.10.2019 19:00:00.000,227.288,227.778,226.677,227.018,136.2225
10.10.2019 13:00:00.000,227.868,230.158,227.277,229.848,115.6575
10.10.2019 14:00:00.000,229.847,230.177,228.937,230.118,200.345
10.10.2019 15:00:00.000,230.118,230.418,229.878,230.058,125.555
10.10.2019 16:00:00.000,230.057,230.288,229.238,229.888,126.265
